method,case_id,category,fake_record_name,synthetic_input_bytes,synthetic_output_preview,requested_write_length,writer_policy_label,expected_writer_type_label,expected_observation,actual_observation,expected_status,actual_status,zig_harness_match,anytype_match,anywriter_match,generic_writer_match,write_writeall_match,fixed_buffer_match,arraylist_match,fmt_match,wrapper_match,version_compatibility_local_only,production_logger_truth_not_tested,naive_expected_to_fail,naive_match,output_bytes,elapsed_sec,fail_reason
preserve_original_case_baseline,writer_anytype_accepts_arraylist_writer_01,anytype_policy,demo_writer,example_log_line,example_log_line,16,anytype_arraylist,anytype,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.006886550923809409,
preserve_original_case_baseline,writer_anytype_accepts_fixed_buffer_writer_01,anytype_policy,demo_writer,sample_payload,sample_payload,14,anytype_fixed_buffer,anytype,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.007686795899644494,
preserve_original_case_baseline,writer_anytype_missing_method_compile_context_not_run_01,interface_documentation_context,toy_interface_case,fake_message,toy_output,16,anytype_missing_method,anytype,not_run_compile_error,not_run_compile_error,skip,skip,True,True,True,True,True,True,True,True,True,True,True,False,True,21,0.0,anytype_missing_method_compile_context_not_run
preserve_original_case_baseline,write_vs_writeAll_partial_write_marker_01,partial_write_policy,toy_partial_write,synthetic_chunk,toy_output,15,write_partial,anytype,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.007472577970474958,
preserve_original_case_baseline,writeAll_loops_until_complete_marker_01,partial_write_policy,toy_partial_write,synthetic_chunk,toy_output,15,writeAll_complete,anytype,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.006984694162383676,
preserve_original_case_baseline,writeAll_stops_on_error_marker_01,partial_write_policy,synthetic_error_case,fake_message,toy_output,12,writeAll_error,anytype,write_ok,write_ok,error,error,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.0,writeAll_stops_on_error
preserve_original_case_baseline,custom_counting_writer_records_bytes_marker_01,anytype_policy,fake_counter_writer,example_log_line,toy_output,16,counting_writer,counting_writer,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.0069702069740742445,
preserve_original_case_baseline,failing_writer_records_error_marker_01,anytype_policy,synthetic_error_case,fake_message,toy_output,12,failing_writer,anytype,error_recorded,error_recorded,error,error,True,True,True,True,True,True,True,True,True,True,True,False,True,14,0.0,failing_writer_records_error
preserve_original_case_baseline,partial_writer_records_short_write_marker_01,partial_write_policy,toy_partial_write,synthetic_chunk,toy_output,20,partial_writer,anytype,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.007474628975614905,
preserve_original_case_baseline,fixed_buffer_writer_exact_fit_marker_01,fixed_buffer_policy,demo_buffer,sample_payload,toy_output,14,fixed_buffer_exact_fit,fixed_buffer_writer,write_ok,write_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,False,True,8,0.007105818949639797,
